%Corner output file
%Format:
%Line1: integer number of corners found
%Line2: Rvalue1 Column_location1 Row_location1 [of the first corner]
%Line3: Rvalue2 Column_location2 Row_location2 [of the second corner]
%and so on
100
0.254316 165 57
0.253905 67 73
0.248062 168 108
0.207281 222 89
0.187389 67 77
0.169345 209 134
0.166744 167 112
0.165019 170 74
0.151024 179 90
0.132383 228 79
0.128185 73 86
0.122459 165 61
0.1209 59 72
0.1198 164 53
0.112593 172 87
0.111149 70 75
0.110571 170 70
0.11022 170 92
0.110125 164 107
0.109591 225 95
0.109507 73 73
0.108931 164 114
0.108889 71 107
0.10347 165 73
0.0996574 179 86
0.0993747 98 75
0.0988646 64 71
0.0973706 57 97
0.092176 171 110
0.0904767 64 85
0.0895975 232 73
0.0892662 209 130
0.0866378 174 69
0.0853021 225 87
0.0848547 225 91
0.0839547 222 93
0.0787154 182 92
0.0761158 227 84
0.0744561 174 45
0.0743694 61 128
0.0739698 210 138
0.0731102 222 85
0.0728407 175 79
0.0721545 55 72
0.0715121 228 74
0.0680717 201 104
0.0674048 207 193
0.0666863 226 99
0.0664462 219 87
0.0658895 168 59
0.0658828 64 48
0.0653747 169 82
0.0649998 67 69
0.0649495 71 44
0.0641732 64 79
0.0637128 157 106
0.0632067 232 79
0.062751 175 28
0.0620316 56 123
0.0610159 51 112
0.0599115 104 72
0.0595278 169 41
0.0577006 165 69
0.0573596 168 95
0.057279 142 95
0.0566443 188 108
0.0559741 30 49
0.0557361 61 87
0.0547626 157 82
0.054007 101 88
0.0536856 67 87
0.0534887 174 167
0.0528835 173 76
0.0527398 69 40
0.0524021 206 189
0.051543 203 46
0.0509342 230 82
0.0509304 167 116
0.0506474 73 82
0.0500324 159 109
0.0498891 97 89
0.049497 154 104
0.0494443 210 195
0.0493345 70 84
0.0488687 95 63
0.0484068 223 74
0.0483349 177 35
0.0478302 191 106
0.0477759 237 106
0.0472237 206 101
0.0471982 211 82
0.0471874 170 37
0.0468581 213 140
0.0465799 78 44
0.04635 70 79
0.0462064 145 90
0.0461406 163 76
0.0461326 67 64
0.0459376 95 77
0.045754 179 167
